container 1, Duration starting the pause container, Duration creating application container, Duration starting up the application container, Duration starting up the JVM, Duration starting up Tomcat server, Duration finalizing spring boot startup, Duration finish first task,Duration finish 1000 tasks,Total time,Difference Creation time first container, Total time since first container,Total time 1000 tasks since container 1,,container 2, Duration starting the pause container, Duration creating application container, Duration starting up the application container, Duration starting up the JVM, Duration starting up Tomcat server, Duration finalizing spring boot startup, Duration finish first task,Duration finish 1000 tasks,Total time,Difference Creation time first container, Total time since first container,Total time 1000 tasks since container 1,,
,658,1375,363,8979,41401,303,5716,0,58795, 0,58795,0,,664,2600,394,9477,42599,386,4425,0,60545, 50,60595,0,,
,688,1397,385,9661,41611,381,9320,0,63443, 0,63443,0,,685,2709,483,9532,39618,384,6993,0,60404, 16,60420,0,,
,649,1423,458,9454,40807,389,7707,0,60887, 0,60887,0,,678,2687,449,9549,40896,310,6307,0,60876, 17,60893,0,,
,738,1480,502,9163,42699,397,7318,0,62297, 0,62297,0,,704,2804,384,9571,42602,288,6610,0,62963, 29,62992,0,,
,725,1374,390,8954,41507,511,9617,0,63078, 0,63078,0,,749,2628,437,8766,41799,398,9609,0,64386, -18,64368,0,,
,818,1450,499,9475,43010,387,6615,0,62254, 0,62254,0,,880,2677,541,10023,40803,405,7310,0,62639, 13,62652,0,,
,695,1605,350,9663,42393,316,8204,0,63226, 0,63226,0,,746,2788,405,9638,43601,210,5903,0,63291, 32,63323,0,,
,662,1429,350,9360,42403,513,5903,0,60620, 0,60620,0,,706,2694,564,9655,42506,294,4617,0,61036, -19,61017,0,,
,884,1482,401,9547,44508,405,6614,0,63841, 0,63841,0,,947,2715,412,9250,42707,492,10322,0,66845, -11,66834,0,,
,633,1401,387,10254,42702,396,6799,0,62572, 0,62572,0,,744,2569,491,10158,44202,400,4002,0,62566, 11,62577,0,,
,634,1481,390,9474,44803,386,7627,0,64795, 0,64795,0,,667,2752,394,9558,42906,498,10096,0,66871, -4,66867,0,,
,728,1407,467,9459,40698,292,3312,0,56363, 0,56363,0,,752,2719,465,9337,39815,502,2791,0,56381, -23,56358,0,,
,812,1423,441,9187,42197,208,6713,0,60981, 0,60981,0,,820,2903,455,9776,41100,390,8216,0,63660, 10,63670,0,,
,812,1423,441,9187,42197,208,6713,0,60981, 0,60981,0,,820,2903,455,9776,41100,390,8216,0,63660, 10,63670,0,,
,939,1470,480,9556,41405,415,8078,0,62343, 0,62343,0,,1017,2702,468,9566,43309,408,7307,0,64777, -10,64767,0,,
,730,1463,435,9851,42010,401,5294,0,60184, 0,60184,0,,755,2765,417,9561,41811,390,4496,0,60195, -10,60185,0,,
,746,1488,484,9267,45793,215,4898,0,62891, 0,62891,0,,787,2805,369,9552,45406,403,5710,0,65032, -34,64998,0,,
,671,1510,456,9849,42989,402,3816,0,59693, 0,59693,0,,706,2745,460,10053,42193,305,3202,0,59664, 25,59689,0,,
,620,1422,414,9671,43101,399,7803,0,63430, 0,63430,0,,645,2656,425,9978,42096,302,5393,0,61495, 31,61526,0,,
,680,1413,335,9093,42498,493,5107,0,59619, 0,59619,0,,681,2685,366,9176,43692,390,5725,0,62715, 14,62729,0,,
,731,1429,464,9742,44508,499,4009,0,61382, 0,61382,0,,806,2742,449,9656,43011,488,9314,0,66466, 10,66476,0,,
,824,1466,413,9783,40694,491,12215,0,65886, 0,65886,0,,905,2667,419,10078,39889,496,12196,0,66650, 16,66666,0,,
,702,1408,482,9441,42901,417,13601,0,68952, 0,68952,0,,776,2657,515,9384,41991,508,4183,0,60014, 20,60034,0,,
,809,1430,416,9585,42609,399,4095,0,59343, 0,59343,0,,832,2698,488,9723,42507,398,3613,0,60259, -12,60247,0,,
